date,long,short,long_short,strategy,q,weighting
2024-06-28,0.18553301371006753,0.011944447191297647,0.1735885665187699,tangible_heavy,10,value
2024-07-31,-0.041129884027000345,-0.0022792736679378,-0.038850610359062544,tangible_heavy,10,value
2024-08-30,0.02011808732295336,0.01241372741443768,0.0077043599085156785,tangible_heavy,10,value
2024-09-30,-0.02345774960200665,0.017851345344343482,-0.04130909494635013,tangible_heavy,10,value
2024-10-31,0.1004092715289871,0.15108331011455423,-0.05067403858556713,tangible_heavy,10,value
2024-11-29,-0.06804376507917548,-0.06572760386478456,-0.002316161214390919,tangible_heavy,10,value
2015-01-30,0.12728950295857988,0.09975420588235294,0.02753529707622694,high_ocf_state,10,equal
2015-02-27,-0.05700444970414201,0.004688526627218934,-0.06169297633136094,high_ocf_state,10,equal
2015-03-31,0.059484319526627215,0.00630589349112426,0.053178426035502956,high_ocf_state,10,equal
2015-04-30,0.003980272189349114,0.017802000000000002,-0.013821727810650889,high_ocf_state,10,equal
2015-05-29,-0.038856355029585794,-0.0022725266272189356,-0.03658382840236686,high_ocf_state,10,equal
2015-06-30,-0.13891347928994083,-0.05684381065088758,-0.08206966863905324,high_ocf_state,10,equal
2015-07-31,0.013343064705882349,-0.0839521294117647,0.09729519411764706,high_ocf_state,10,equal
2015-08-31,-0.13542494117647058,-0.11968441176470589,-0.015740529411764695,high_ocf_state,10,equal
2015-09-30,0.05207867455621301,0.007109544378698224,0.04496913017751479,high_ocf_state,10,equal
2015-10-30,0.020308349112426037,0.016292467455621303,0.0040158816568047345,high_ocf_state,10,equal
2015-11-30,-0.09019236686390533,-0.06061365088757397,-0.02957871597633136,high_ocf_state,10,equal
2015-12-31,-0.14342510714285714,-0.19977232738095238,0.05634722023809524,high_ocf_state,10,equal
2016-01-29,-0.006211457831325302,-0.04546321556886227,0.03925175773753697,high_ocf_state,10,equal
2016-02-29,0.12725056024096384,0.07983468674698796,0.047415873493975885,high_ocf_state,10,equal
2016-03-31,0.11052485454545455,0.06551581212121213,0.04500904242424242,high_ocf_state,10,equal
2016-04-29,-0.03583317073170732,0.044531067073170734,-0.08036423780487806,high_ocf_state,10,equal
2016-05-31,0.011494987804878048,-0.03129089634146341,0.04278588414634146,high_ocf_state,10,equal
2016-06-30,0.08819175,0.062225451219512194,0.025966298780487805,high_ocf_state,10,equal
2016-07-29,0.06401712269938649,0.03078325153374233,0.03323387116564416,high_ocf_state,10,equal
2016-08-31,0.05226696913580248,0.08450961728395061,-0.03224264814814813,high_ocf_state,10,equal
